id,name,abbreviation,abbreviation_fr,classification,data_catalog,has_children,name_fr,number,organization_name,parent_id,posts_count,sgc,url,validFrom
ocd-division/country:ca,Canada,,,,http://www.data.gc.ca/,,,,,,,,,
ocd-division/country:ca/csd:3520005,Toronto,,,C,http://www.toronto.ca/open,,Toronto,,City of Toronto,,,,http://www.toronto.ca,
ocd-division/country:ca/csd:3520005/place:agincourt,Agincourt,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:agincourt_north,Agincourt North,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:alderwood,Alderwood,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:armour_heights,Armour Heights,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:baby_point,Baby Point,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:bayview_village,Bayview Village,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:beaumonde_heights,Beaumonde Heights,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:bedford_park,Bedford Park,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:bendale,Bendale,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:bennington_heights,Bennington Heights,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:birch_cliff,Birch Cliff,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:birchmount_park,Birchmount Park,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:bloordale_gardens,Bloordale Gardens,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:browns_corners,Browns Corners,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:cabbagetown,Cabbagetown,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:cedarvale,Cedarvale,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:centennial,Centennial,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:chestnut_hills,Chestnut Hills,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:claireville,Claireville,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:clairlea,Clairlea,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:clarks_corners,Clarks Corners,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:cliffcrest,Cliffcrest,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:cliffside,Cliffside,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:crescent_town,Crescent Town,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:danforth_station,Danforth Station,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:davisville,Davisville,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:deer_park,Deer Park,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:del_ray,Del Ray,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:don_mills,Don Mills,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:don_vale,Don Vale,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:dorset_park,Dorset Park,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:downsview,Downsview,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:east_york,East York,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:ellesmere,Ellesmere,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:emery,Emery,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:eringate,Eringate,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:etobicoke,Etobicoke,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:fairbank,Fairbank,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:fairhaven,Fairhaven,,,,,,,,,,,,,
ocd-division/country:ca/csd:3520005/place:fisherville,Fisherville,,,,,,,,,,,,,
